author,count
Fiery Cushman,3
"Poline, D.",3
"Bourgeron, J.",3
"Dehaene, T.",3
S.,3
"Pinel, P.",3
"Fauchereau, F.",3
Shelley J. Correll,3
Stephen Benard,3
"Bargh, J. A",3
Galen D. McNeil,3
Rotem Alony,3
"Kuhbandner, C.",3
Elena Tribushinina,3
Guido M. van Koningsbruggen,3
Tilo Hartmann,3
Allison Eden,3
Harm Veling,3
Margaret R. Tarampi,3
Nahal Heydari,3
Mary Hegarty,3
In Paik,3
"He, J.",3
"Gu, D.",3
"Tapert, S.F.",3
Mark B. Stokes,3
"Kelly, T.",3
"Bazzano, L.",3
"Whelton, P.",3
"Skurka, C.",3
"Niederdeppe, J.",3
"Romero-Canyas, R.",3
G. Daniel Lassiter,3
"May, A.C.",3
"Stewart, J.L.",3
"Lord, C.",3
Birte Englich,3
Stephen G. Young,3
Kurt Hugenberg,3
Stephanie Lichtenfeld,3
Jonathan Schaffer,3
Ruth Ditlmann,3
Leigh Ann Vaughn,3
Andrew L. Geers,3
"Acup, D.",3
"Steenbeck, M.",3
"Miguel, E.",3
"Stern, D.",3
"Oster, E.",3
Steven Bellman,3
Gerald L. Lohse,3
Justin Kruger,3
Antônio C. Santos,3
Tereza Cristina Silva,3
Ann M. Kring,3
Barry M. Staw,3
Joshua Rottman,3
José Andrés Morgado‐Díaz,3
Pedro Ratto Lisboa Pires,3
Andréia Oliveira Latorre,3
"Krueger, A.",3
Wallace Martins de Araújo,3
Lijun Liu,3
Leandro A. Barbosa,3
Waldemir Fernandes de Souza,3
Ara Norenzayan,3
Elizabeth W. Dunn,3
"Williams, L. E.",3
Max Kleiman‐Weiner,3
Clara L. Wilkins,3
Cheryl R. Kaiser,3
"Lathrop, M.",3
"Zelenika, D.",3
"Bihan, L.",3
Timothy F. Brady,3
Mika Semrow,3
Linda X. Zou,3
Shuyang Liu,3
"Richter, F.",3
Talia Konkle,3
Harry T. Reis,3
Karisa Y. Lee,3
Stephanie D. O’Keefe,3
"Moreno, A.",3
"Barbot, A.",3
Laís Silva Fernandes,3
"Isaac, M. S.",3
"Jones, B.",3
"Wilhelm, M.",3
"Rajan, R.",3
Sapna Cheryan,3
Philip Tata,3
Jinmian Yang,3
Keith Rayner,3
Nan Li,3
Suiping Wang,3
Ryan Caskey,3
Michael Inzlicht,3
Jennifer N. Gutsell,3
Douglas T. Kenrick,3
David Dubois,3
Carol S. Dweck,3
Ingo Zettler,3
Benjamin E. Hilbig,3
Mariko Hasegawa,3
Toshikazu Hasegawa,3
Kevin Bennett,3
Eyal Yoskovitz,3
Dan Oron,3
Itzhak Shweky,3
Uri Banin,3
Teresa A. Treat,3
Ran R. Hassin,3
Derek D. Rucker,3
Jim Blascovich,3
Derek Besner,3
Greicy M. M. Conterato,3
Yaniv Mama,3
Daniel Algom,3
Laurie Lane Goldberg,3
Alice M. Isen,3
Paula F. Levin,3
Sanford E. DeVoe,3
Marilyn S. Roberts,3
Martina Reynolds,3
Christine Ma‐Kellams,3
Sara E. Gutierres,3
Adam L. Alter,3
"Rabbitt, P.",3
"Epstein, R.",3
"Robertson, R.",3
David M. Amodio,3
Eddie Harmon‐Jones,3
Daniel Lin,3
David Rosenbaum,3
Chris R. Brewin,3
Maxwell McCombs,3
Travis J. Carter,3
"Willer, R.",3
Jens Förster,3
Stefanie Kuschel,3
Tatiana Emanuelli,3
Gerald J. Gorn,3
David M. Buss,3
"Paulus, M.P.",3
Aude Oliva,3
"Jaquish, C.",3
"Smith, R.",3
"Hixson, J.",3
"Duan, X.",3
"Huang, J.",3
Marina Sirota,3
Joel T. Dudley,3
Jeewon Kim,3
Annie Chiang,3
Alex A. Morgan,3
E. Alejandro Sweet‐Cordero,3
Julien Sage,3
Atul J. Butte,3
"Rao, D.",3
"Robert S. Wyer, Jr.",3
Jessica J. Staniland,3
Mitchell K. Byrne,3
Hang Kyo Lim,3
Douglas L. Medin,3
"Fryk, E.",3
"Karanti, A.",3
"Hällgren, J.",3
Tobias Greitemeyer,3
Lee A. Kirkpatrick,3
Michaela Wänke,3
Eli J. Finkel,3
"Jones, D.",3
Erin Cooley,3
"Monfils, M.",3
"Cowansage, K.",3
"Klann, E.",3
"Ledoux, J.",3
"Swami, V.",3
"Furnham, A.",3
Kristin Laurin,3
"Chen, C.",3
Jae Chun Choe,3
Fernanda Barbisan,2
Alice Maria Costa Martins,2
Dawidson Assis Gomes,2
Renata de Sousa Alves,2
Daniel M. Wegner,2
Mı́riam Martins Chaves,2
Gabriela Elisa Hirsch,2
Mariana Migliorini Parisi,2
Léo Anderson Meira Martins,2
Cláudia Marlise Balbinotti Andrade,2
Florencia María Barbé‐Tuana,2
Patrícia Bezerra Gomes,2
Milene Medeiros de Moraes,2
"Taube, W.",2
"Comyns, Thomas M.",2
"Brady, Connor J.",2
"Molloy, Joseph",2
"Hill, Andrew",2
"Hagemann, Norbert",2
"Strauss, Bernd",2
"Satyanath, S.",2
"Cohen, L.",2
"Gorodnichenko, Y.",2
"Pitt, M.",2
"Khandker, S.",2
"Galiani, S.",2
"Borooah, V.",2
"Piff, P.",2
James R. Beebe,2
Matthew A. Lambon Ralph,2
Sheeba Ehsan,2
Adrian F. Ward,2
Ayelet Gneezy,2
Viren Swami,2
Martin Voracek,2
Stefan Stieger,2
"Ambady, N.",2
"Hamilton, J.",2
"Miller, D.",2
"Bartling, B.",2
"Herz, H.",2
"Bal, D.",2
"Rath, B.",2
"Charness, G.",2
"Tarp, F.",2
"Frey, B.",2
"Brough, A. R",2
"Schnall, S., Benton, J.",2
"Harvey, S",2
"Zhan, X.",2
"Tang, S.",2
"Li, T.",2
"Tecu, I.",2
"Mavhu, W.",2
"Chidiya, S.",2
"Jaffar, S.",2
"Ram, R.",2
"Evans, J.",2
"Vul, E.",2
"Fischbacher, U.",2
"Wadhwa, M.",2
"Levine, R.",2
"Zingales, L.",2
"Pesaran, M.",2
"Becker, S.",2
"Woessmann, L.",2
"Chudik, A.",2
"Kapetanios, G.",2
"Chotikapanich, D.",2
"Griffiths, W.",2
"Wacziarg, R.",2
"Koop, G.",2
"Huber, J.",2
"Nunn, N.",2
"Kuziemko, I.",2
"Shin, Y.",2
"Angrist, J.",2
Lawrence G. Calhoun,2
"Feist, M.I",2
"Amihud, Y.",2
"Bazen, S.",2
"Marimoutou, V.",2
"Azar, J.",2
"Schmalz, M.",2
Stephanie M. Clancy,2
Stephen J. Dollinger,2
Leonardo Pereira Franchi,2
Bella B. Manshian,2
Tiago Alves Jorge de Souza,2
Stefaan J. Soenen,2
Elaine Yoshiko Matsubara,2
José Maurício Rosolen,2
Catarina Satie Takahashi,2
"Slepian, M. L., Masicampo, E. J., Toosi, N. R.",2
"Ambady, N",2
Michael E. McCullough,2
Robert A. Emmons,2
Jo‐Ann Tsang,2
Todd M. Thrash,2
Arnie Cann,2
Raphael do Carmo Valente,2
Luiz Sabbatini Capella,2
Christine Rabello Nascimento,2
A.G. Lopes,2
Márcia Alves Marques Capella,2
Joyce E. Bono,2
Gustavo Carlo,2
Morris A. Okun,2
George P. Knight,2
Rebecca L. Shiner,2
Ann S. Masten,2
Auke Tellegen,2
Ravenna Helson,2
"Bem, D",2
"Duffy, S.E.",2
Sanjay Srivastava,2
Maria Rosario T. de Guzman,2
Rozângela Verlengia,2
Renata Gorjão,2
Carla Cristine Kanunfre,2
Silvana Bordin,2
Thaís Martins de Lima,2
Elizabeth A. L. Martins,2
Jonas Magno dos Santos Cesário,2
Rodrigo Barbosa Oliveira Brito,2
Camila Soares Malta,2
Chrisna Souza Silva,2
Yves Silva Teles Matos,2
